,0
0,Alabama
1,Arkansas
2,Connecticut
3,Delaware
4,Georgia
5,Idaho
6,Illinois
7,Indiana
8,Kansas
9,Kentucky
10,Louisiana
11,Maryland
12,Minnesota
13,Mississippi
14,Montana
15,New Mexico
16,North Carolina
17,Oklahoma
18,Rhode Island
19,South Carolina
20,Tennessee
21,Vermont
